cow_id,scan_number,day,conductivity_raw_mScm,temperature_C,conductivity_temp_adjusted_mScm,milk_pH,somatic_cell_count,milk_yield_L,clotting,as7343_F1,as7343_F2,as7343_FZ,as7343_F3,as7343_F4,as7343_F5,as7343_FY,as7343_FXL,as7343_F6,as7343_F7,as7343_F8,as7343_NIR,as7343_VIS,as7343_FD,conductivity_deviation,prev_risk_score,risk_moving_avg_3scan,risk_slope,risk_score,risk_label,split
C0561,6,18,4.586,35.43,4.592,6.571,79,21.54,0,930,715,1944,1598,2406,2930,3404,3627,3635,3289,3140,2056,15687,1215,-0.097,6.02,6.02,0.0,6.02,Healthy,train
C0504,5,15,5.3,36.06,5.244,6.575,90,16.84,0,1157,783,2437,2030,2708,3248,4326,4596,4246,4119,3492,2511,19224,1387,0.555,15.7,15.7,0.0,15.7,Healthy,train
C0356,4,12,4.545,34.98,4.59,6.78,154,21.64,0,1170,911,2521,2100,3053,3453,4378,5217,4632,4324,4264,2678,20173,1369,-0.099,8.66,10.06,3.82,12.48,Healthy,train
C0017,3,9,5.004,36.01,4.956,6.769,176,18.39,0,1356,948,2768,2234,3025,3462,4465,4365,4323,4187,4021,2607,19465,1446,0.267,11.64,14.55,5.81,17.45,Healthy,train
C0168,4,12,5.105,36.25,5.032,6.748,272,16.69,0,1272,1023,2939,2362,3302,3483,4619,5406,4736,4282,3949,2939,20435,1528,0.343,21.7,19.56,2.28,23.98,Healthy,train
C0081,4,12,4.922,35.97,4.878,6.681,161,19.52,0,1241,975,2718,2309,3071,3384,4414,4902,4618,4261,4147,2647,19150,1292,0.189,15.24,15.24,0.0,15.24,Healthy,train
C0282,5,15,4.822,34.06,4.954,6.599,158,19.03,0,1013,780,2282,1908,2651,3232,4034,4463,4111,4241,3703,2307,17888,1298,0.265,11.23,11.21,-2.9,8.33,Healthy,train
C0302,3,9,6.139,36.77,5.991,6.891,457,12.68,0,1601,1127,3387,2760,3561,3963,5245,5844,5425,5712,5175,3354,24595,1657,1.302,33.53,37.14,26.39,59.92,Subclinical,train
C0650,1,3,5.073,36.3,4.996,6.764,277,13.78,0,1307,1045,3038,2450,3403,3736,4942,4947,4940,4373,3885,2706,21139,1505,0.307,19.54,18.81,3.91,23.45,Healthy,train
C0738,2,6,5.025,36.5,4.93,6.796,308,16.18,0,1220,935,2777,2307,3149,3540,4643,4683,4699,4470,3976,2868,19727,1435,0.241,18.81,18.97,4.61,23.42,Healthy,train
C0611,1,3,5.302547595137107,36.25424556640755,5.235317739888679,6.782683281281635,405,13.72459199911698,0,1526,1102,3179,2704,3516,3851,5167,5452,5703,4940,4002,2915,23277,1731,0.5463177398886794,20.708010564846543,25.76800801192076,14.770645338337108,35.47865590318365,Subclinical,train
C0659,3,9,5.116,35.39,5.127,6.576,149,24.11,0,1235,873,2512,2172,2841,3517,4129,4700,4581,4078,3872,2584,19225,1472,0.438,16.91,16.14,1.41,18.32,Healthy,train
C0125,4,12,5.869007751084308,36.39734908790519,5.768705000344314,6.952450987815782,373,14.475074771115514,0,1587,1156,3352,2594,4041,4338,5903,6233,5997,5342,4427,3109,24257,1697,1.079705000344313,26.75367917670448,28.68520030288389,17.046861705790565,43.80054088249504,Subclinical,train
C0167,6,18,6.957270360832753,37.58909148379776,6.680815842423235,7.108181851988104,563,10.790899963212048,1,1869,1440,4156,3474,4647,5357,6720,7201,6906,6237,5884,3927,29631,2013,1.991815842423236,69.00997768785167,64.20634473865013,15.184552993347086,84.19453068119877,Clinical,train
C0388,5,15,4.891,35.38,4.902,6.563,77,15.23,0,1077,841,2499,1956,2559,2932,3900,4219,3807,3745,2977,2155,17077,1332,0.213,9.01,10.58,4.82,13.83,Healthy,train
C0726,3,9,4.437,35.07,4.473,6.844,162,18.1,0,1062,839,2234,1858,2583,2840,3738,4044,3347,3583,3404,2182,16209,1265,-0.216,8.03,10.83,4.66,12.69,Healthy,train
C0772,2,6,4.867,36.55,4.77,6.794,113,24.17,0,1112,802,2491,1970,2768,3206,4235,4376,4243,4203,3726,2417,18240,1360,0.081,13.23,15.23,4.73,17.95,Healthy,train
C0778,2,6,4.647,35.75,4.625,6.777,122,14.79,0,1289,921,2685,2242,2708,3436,3883,4985,4305,3878,3461,2609,18768,1364,-0.064,10.43,8.66,-3.08,7.34,Healthy,train
C0138,1,3,4.571,35.14,4.602,6.624,217,17.43,0,1194,934,2564,2097,2966,3241,4245,4527,4254,4108,3955,2341,18744,1452,-0.087,11.55,11.55,0.0,11.55,Healthy,train
C0047,6,18,4.926,35.26,4.948,6.456,108,19.37,0,1105,822,2364,1882,2669,2966,3960,4374,4102,3840,3316,2172,18090,1362,0.259,12.97,11.67,-2.6,10.37,Healthy,train
C0316,2,6,4.54,35.74,4.519,6.673,164,22.49,0,1245,987,2814,2192,3177,3560,4469,5286,4714,4228,3882,2568,20668,1370,-0.17,10.39,10.39,0.0,10.39,Healthy,train
C0680,5,15,4.049,34.95,4.091,6.576,120,17.1,0,1258,931,2666,2183,2699,3131,4118,4254,3726,3809,3514,2301,18095,1302,-0.598,6.42,6.77,0.46,6.88,Healthy,train
C0287,2,6,5.01,35.57,5.003,6.773,146,20.67,0,1106,880,2447,1945,2783,3133,4265,4256,4382,3491,3471,2353,17200,1287,0.314,16.5,16.23,0.26,16.76,Healthy,train
C0031,1,3,6.7247985067627445,37.88515915482657,6.420811901152635,7.190484661906246,268,15.663808168059496,1,1899,1331,4168,3293,4701,4983,7387,7215,7083,6644,5789,3612,30312,2014,1.7318119011526347,35.97266887334588,41.98922943679485,30.89131211268979,66.86398098603567,Subclinical,train
C0199,5,15,4.95,35.72,4.929,6.779,85,23.42,0,1191,810,2569,2024,2883,3222,4175,4408,3976,3771,3387,2370,18296,1390,0.24,11.22,11.22,0.0,11.22,Healthy,train
C0696,6,18,4.242,35.55,4.238,6.543,107,20.5,0,1041,755,2193,1738,2782,3019,3791,4029,3672,3527,3356,2307,15910,1274,-0.451,9.74,8.91,-3.47,6.27,Healthy,train
C0120,1,3,6.171978085644628,37.48714244330992,5.93920230730876,6.961470357683636,413,12.648044408076856,1,1852,1342,4084,3277,4810,5387,7051,6938,6708,6388,5747,3980,29782,1961,1.2502023073087596,39.11169146092645,42.65659458442561,25.170576146266907,64.27646541575783,Subclinical,train
C0223,6,18,5.038,35.71,5.018,6.774,140,20.76,0,1130,898,2484,2083,2931,2931,3864,4305,4115,3862,3296,2356,17839,1380,0.329,15.44,15.97,1.05,16.5,Healthy,train
C0410,5,15,5.887531843552058,37.08468156447943,5.710067433404357,6.828584291755447,271,16.12292080336565,0,1513,1050,3712,2490,3453,4055,5116,6709,5267,5792,4854,3233,24375,1709,1.0210674334043572,21.669328287602767,24.466593488426053,14.096105158571412,35.76543344617418,Subclinical,train
C0033,6,18,4.811,35.74,4.789,6.671,147,21.01,0,1110,889,2457,1890,2624,2791,3751,4561,4197,3792,3283,2283,17615,1331,0.1,13.49,13.49,0.0,13.49,Healthy,train
C0331,6,18,6.489,37.27,6.271,6.936,457,10.93,1,2128,1535,4503,3751,4819,5366,6731,7331,7208,6533,6674,4290,30432,2090,1.582,43.71,45.98,27.56,71.28,Clinical,train
C0355,6,18,5.075,35.88,5.038,6.486,131,17.39,0,1108,869,2516,2091,2842,3242,4030,4421,4296,4138,3454,2494,17817,1230,0.349,19.37,15.26,-3.33,16.04,Healthy,train
C0616,2,6,5.938956038120088,37.1249470793465,5.7579843587563175,7.018289311106208,443,11.957413936549656,1,1844,1487,4231,3189,4489,5010,6440,7387,7036,6498,5942,3794,29824,1986,1.068984358756318,38.77595780991757,42.64761225422345,24.85260990469978,63.62856771461735,Subclinical,train
C0745,5,15,4.76,34.98,4.807,6.516,100,17.55,0,1096,797,2387,1941,2831,3198,4155,4408,4313,4150,3684,2476,18316,1292,0.118,11.03,9.75,-3.17,7.86,Healthy,train
C0360,6,18,4.466,35.8,4.441,6.755,190,21.94,0,1244,927,2681,2158,2789,3341,3942,4661,4261,3928,3924,2571,19026,1433,-0.248,11.71,11.43,-2.96,8.76,Healthy,train
C0574,1,3,6.23,37.35,6.011,7.017,504,12.49,1,1952,1498,4117,3451,5044,5653,7659,7917,7343,6604,6677,4458,32002,2106,1.322,44.32,46.36,25.61,69.93,Subclinical,train
C0572,6,18,4.512,35.61,4.503,6.578,104,17.59,0,973,710,2120,1754,2264,2735,3455,3872,3785,3460,2900,1967,15605,1211,-0.186,8.38,8.54,0.33,8.71,Healthy,train
C0699,3,9,4.398,35.32,4.413,6.702,195,20.18,0,1252,970,2837,2155,2786,3317,4448,4868,4342,4423,3963,2804,19535,1385,-0.276,7.59,10.33,3.26,10.85,Healthy,train
C0152,3,9,5.356583082417177,37.02007048992843,5.202299327239499,6.880684716469246,336,14.117162448223214,0,1421,1053,3106,2487,3433,3927,4912,5462,5134,4624,4401,3014,22391,1586,0.5132993272394984,20.211205384955928,22.551205384955928,13.239510412795353,33.45071579775128,Subclinical,train
C0095,1,3,6.0213460957760825,37.9213512410151,5.747712257984326,6.955905115042579,505,9.440948849574214,1,2018,1656,4394,3530,4124,4720,6295,8078,7125,6730,6208,3937,30350,2032,1.0587122579843264,51.80641661930045,52.037886200812906,22.668338981846304,74.47475560114674,Clinical,train
C0427,5,15,4.666,35.39,4.676,6.783,115,18.41,0,1019,723,2273,1934,2690,2862,3666,4285,3835,3723,3267,2199,16986,1219,-0.013,10.4,11.51,1.4,11.8,Healthy,train
C0289,1,3,5.637253657545683,37.01365835565999,5.475184009904257,6.832724706367856,368,13.88289594057446,0,1404,1105,2964,2440,3517,4039,5217,5554,5306,5170,4377,3093,23147,1637,0.7861840099042566,26.19981289950086,27.524867916959558,14.530663507078636,40.73716628912664,Subclinical,train
C0581,5,15,4.219,35.38,4.229,6.731,98,17.5,0,1162,855,2365,1920,2571,2958,3952,4416,3881,3997,3289,2189,16933,1284,-0.46,7.87,7.87,0.0,7.87,Healthy,train
C0550,4,12,4.56,35.36,4.572,6.771,108,18.41,0,1019,842,2213,1875,2487,2947,3794,4362,4175,3673,3296,2280,17019,1280,-0.117,7.79,7.79,0.0,7.79,Healthy,train
C0163,1,3,4.386,35.58,4.379,6.594,122,20.56,0,1062,840,2500,1797,2574,2905,4069,4063,4007,3775,3383,2327,16570,1291,-0.31,7.42,8.58,1.27,8.69,Healthy,train
C0681,4,12,4.938,35.99,4.892,6.718,194,16.84,0,1207,867,2409,2178,3257,3523,4828,4690,4035,4039,3830,2461,19035,1434,0.203,10.46,12.47,4.01,14.48,Healthy,train
C0709,6,18,4.304,35.45,4.308,6.435,178,23.16,0,1194,870,2253,1962,3116,3301,4104,4708,4349,4130,3824,2534,18854,1434,-0.381,12.68,10.98,-1.6,11.08,Healthy,train
C0070,4,12,4.621,34.81,4.682,6.689,108,19.38,0,1099,856,2232,1919,2299,2674,3540,4188,3940,3749,3142,2098,16774,1190,-0.007,9.6,9.46,-0.49,9.11,Healthy,train
C0644,1,3,6.009651630095164,37.2796478625592,5.8065812026070045,6.823918973222679,434,12.37070544707949,1,1866,1350,3830,2776,4242,4861,6382,7443,6647,6288,5429,3906,27785,1886,1.1175812026070042,30.181296695882143,40.073766346759314,34.31641616904949,64.50943822117176,Subclinical,train
C0631,1,3,4.337,35.79,4.313,6.518,159,19.85,0,1189,954,2845,2063,2899,3157,4038,4404,4173,3617,3853,2419,17996,1365,-0.376,9.26,9.84,0.35,9.61,Healthy,train
C0752,2,6,6.363241830686215,38.569592248584456,5.991937026156463,7.1812232542466425,555,9.4,0,1748,1288,3691,2963,3763,4829,5704,6915,6659,5995,5509,3787,26956,1879,1.302937026156463,52.65465887032155,54.65875656511519,21.30635041789824,73.95141703963533,Clinical,train
C0650,2,6,4.746,35.6,4.737,6.554,81,16.71,0,1150,832,2490,2039,2757,3219,4135,4123,3968,3666,3453,2138,18311,1363,0.048,11.85,11.85,0.0,11.85,Healthy,train
C0337,1,3,4.687,35.47,4.69,6.753,194,24.5,0,1194,888,2676,2159,2866,3355,4380,4557,4257,3828,3523,2386,18302,1399,0.001,16.82,15.01,-0.44,16.37,Healthy,train
C0422,3,9,6.752,37.36,6.513,6.885,434,14.36,1,1955,1505,4330,3495,4543,5296,6818,7909,7583,7024,5731,4127,31193,2064,1.824,44.96,48.75,29.57,74.53,Clinical,train
C0715,2,6,4.132,35.45,4.136,6.636,205,21.82,0,1216,918,2693,2118,2978,3303,4775,4805,4584,4318,3894,2570,19830,1426,-0.553,9.1,9.37,-0.27,8.83,Healthy,train
C0758,4,12,4.832,34.55,4.919,6.58,129,18.02,0,1168,909,2562,2037,2824,3320,4076,4515,4103,3830,3653,2344,18185,1325,0.23,10.28,10.28,0.0,10.28,Healthy,train
C0295,1,3,4.95,36.03,4.9,6.733,234,17.22,0,1318,1016,2923,2304,3506,3867,4844,4842,4864,4586,4332,2609,21808,1492,0.211,11.84,15.49,7.32,19.15,Healthy,train
C0475,1,3,4.671,34.12,4.793,6.707,137,20.06,0,1252,939,2703,2063,3053,3688,4666,4814,4523,4155,3918,2549,19807,1431,0.104,9.28,7.2,-2.23,7.05,Healthy,train
C0473,2,6,4.722,35.4,4.731,6.624,65,18.75,0,961,789,2161,1721,2470,2928,3619,3790,3751,3499,3082,1956,16151,1268,0.042,7.02,7.89,1.75,8.77,Healthy,train
C0621,3,9,4.98,35.43,4.987,6.673,155,23.02,0,1129,843,2228,1898,3003,3407,4255,4671,4623,4495,3506,2408,18265,1334,0.298,12.06,11.9,1.98,14.04,Healthy,train
C0230,6,18,5.25,35.68,5.232,6.669,171,20.37,0,1251,928,2647,2158,3342,3698,4949,5194,5037,4598,3895,2751,20781,1519,0.543,18.62,18.57,0.48,19.1,Healthy,train
C0793,4,12,6.41261658145345,38.36909412464546,6.063675390074951,7.094312433884928,558,9.65173748237196,0,1738,1292,3706,2971,3851,4860,5807,6794,6577,5916,5379,3741,26958,1875,1.3746753900749509,51.16524781821588,53.446667511448304,22.973555293563088,74.13122366449409,Clinical,train
C0220,6,18,7.01,38.62,6.594,7.18,599,7.2,1,1837,1527,4455,3368,4698,4860,6438,7814,7104,7321,6609,4498,30792,2011,1.905,74.44,68.7,13.81,88.25,Clinical,train
C0514,4,12,4.61,35.51,4.609,6.713,134,23.73,0,1217,871,2760,2215,2695,3170,4109,4201,3956,3809,3625,2473,17992,1290,-0.08,12.94,11.39,-3.1,9.83,Healthy,train
C0085,2,6,5.25,35.4,5.26,6.731,148,19.06,0,1320,961,2596,2305,2944,3366,4338,4432,4218,3957,3643,2267,19301,1445,0.571,14.88,15.31,3.16,18.03,Healthy,train
C0088,6,18,3.984,34.91,4.029,6.529,124,17.56,0,1190,948,2564,2208,2573,3302,4010,4188,4005,3718,3556,2425,18224,1268,-0.66,7.0,6.36,-0.58,6.42,Healthy,train
C0365,3,9,4.49,35.47,4.493,6.866,184,20.99,0,1138,882,2461,1939,2435,2959,4066,4717,4203,3922,3425,2404,17827,1352,-0.196,12.64,12.29,0.52,13.16,Healthy,train
C0014,2,6,5.884,38.19,5.583,6.943,594,13.74,1,1741,1341,4169,3285,4035,4421,5986,6435,6934,6049,5666,3719,27151,1784,0.894,45.2,49.25,30.26,75.47,Clinical,train
C0762,1,3,4.446,35.5,4.446,6.603,174,17.19,0,1392,1001,2811,2420,3156,3400,4744,4999,4973,4422,3968,2788,21374,1530,-0.243,14.06,11.36,-2.65,11.41,Healthy,train
C0735,4,12,4.892,35.62,4.881,6.558,53,18.56,0,1044,798,2326,2047,2584,2886,3795,4105,3928,3545,3278,2100,16307,1380,0.192,9.51,10.13,1.23,10.75,Healthy,train
C0031,4,12,5.922485251841584,37.57078943911899,5.689505728511176,6.986780682167428,505,12.454941401409853,1,1948,1485,4292,3479,4624,5022,6696,7380,6887,6894,5749,3830,30213,1990,1.0005057285111758,35.808245982730774,42.36169607541827,30.60140373920673,66.41529299295073,Subclinical,train
C0390,2,6,5.048,35.23,5.074,6.75,236,21.33,0,1257,1031,2845,2470,3204,3619,4963,5295,5056,4389,4334,3098,21447,1515,0.385,15.81,17.62,1.72,17.53,Healthy,train
C0705,4,12,6.271917180844893,38.43334882369375,5.930771635152658,7.6139269378874435,476,3.3981600467043744,0,1640,1274,3704,2924,3968,5121,5786,5943,5226,5252,4994,3315,24195,1584,1.241771635152657,48.420381025176006,50.25072020753378,17.57708561495803,65.99746664013404,Subclinical,train
C0738,3,9,5.216,35.14,5.252,6.43,163,24.36,0,1331,1037,2954,2400,3106,3773,4258,4779,4767,4307,3944,2730,19898,1431,0.563,18.73,17.73,-0.65,18.08,Healthy,train
C0716,4,12,4.641,35.63,4.63,6.576,73,16.01,0,1065,847,2212,1917,2526,2951,3858,3992,3704,3507,3204,1972,16537,1313,-0.059,10.4,10.38,-1.51,8.89,Healthy,train
C0674,1,3,6.11812718549932,37.16798345124984,5.924131322686859,7.007357800687106,408,10.285202183154894,0,1547,1149,3054,2557,3686,3916,5327,6032,6193,5337,4647,3135,24098,1656,1.2351313226868588,38.80119846368651,39.19721741120535,16.291500060657675,55.09269852434418,Subclinical,train
C0240,4,12,5.517216036054655,36.75618034225982,5.385543524493605,6.702324990724792,399,15.641127012413744,0,1562,1169,3411,2820,3808,4652,5325,6135,5432,5255,5333,3709,24723,1634,0.6965435244936049,22.709524420629084,25.907357815797138,20.255309852387715,42.95483427301679,Subclinical,train
C0450,6,18,4.481,34.95,4.528,6.639,151,20.14,0,1153,834,2466,2022,2540,2950,3770,4345,4183,3609,3552,2419,17329,1202,-0.161,9.3,9.5,-0.31,8.98,Healthy,train
C0344,4,12,6.078725011396472,37.64507052935264,5.831340664360452,7.004056423482115,424,12.497059001866509,0,1581,1057,3218,2865,3615,3909,5558,6355,5909,5934,4489,3364,25634,1742,1.1423406643604517,37.09999393339795,39.94351281699242,19.95062035481613,57.047052935264446,Subclinical,train
C0144,6,18,6.164338023159348,37.232423340505456,5.961618777130084,6.914,325,11.084078282607084,1,2100,1457,4479,3557,4782,5473,7182,7654,7415,6368,5775,3662,31326,2005,1.2726187771300852,35.0253048345198,38.213690476488416,21.543734667475416,56.56903950199522,Subclinical,train
C0427,6,18,6.23427194848167,37.217563753450754,6.032259615779593,6.922523411439929,439,10.578993519130965,1,1850,1338,4149,3369,4431,5127,6748,7526,7449,6675,5915,4110,29257,1936,1.343259615779593,38.7348724930985,42.5989234958591,27.95916179013913,66.69403428323763,Subclinical,train
C0137,6,18,4.69,35.89,4.655,6.684,119,17.83,0,1141,892,2604,2047,2784,3384,4052,4402,4018,3943,3549,2065,18266,1240,-0.034,14.28,12.93,-1.44,12.84,Healthy,train
C0401,5,15,4.648,35.26,4.669,6.657,136,29.01,0,1151,823,2407,1860,2648,3002,4176,4601,3922,3932,3351,2154,17561,1290,-0.02,12.5,11.95,-1.09,11.4,Healthy,train
C0454,6,18,4.531,34.88,4.584,6.692,103,16.53,0,1151,861,2539,1923,2636,2955,3662,4021,3998,3729,3309,2171,17369,1321,-0.105,6.43,6.64,-0.17,6.27,Healthy,train
C0539,1,3,4.236,35.65,4.224,6.643,226,20.68,0,1467,1173,3010,2640,3184,3856,4848,5015,5033,4586,4269,2712,21448,1526,-0.465,10.3,11.24,0.65,10.94,Healthy,train
C0239,3,9,4.486,35.55,4.482,6.64,209,21.98,0,1138,948,2556,2127,2857,3279,4397,4902,4605,4483,3666,2489,19039,1351,-0.207,14.43,11.94,-1.86,12.58,Healthy,train
C0084,2,6,5.38,36.14,5.315,6.853,335,18.89,0,1441,1092,3137,2420,3543,4047,5711,5963,5468,5038,4269,3037,23437,1599,0.626,17.26,20.44,12.36,29.62,Healthy,train
C0279,4,12,5.714,37.92,5.451,6.973,427,10.19,0,1629,1196,3388,2581,3712,4266,5640,5779,5283,5346,4681,3187,23888,1634,0.762,32.99,34.01,16.45,49.44,Subclinical,train
C0714,1,3,4.954,36.1,4.898,6.568,171,22.47,0,1224,944,2735,2338,2799,3319,4150,4436,4213,3938,3584,2573,18168,1361,0.209,15.12,15.05,0.1,15.22,Healthy,train
C0025,4,12,4.943,35.77,4.918,6.589,117,18.49,0,1127,864,2437,1850,2790,3046,4137,4260,3914,3591,3581,2477,17624,1292,0.229,15.61,15.33,-2.23,13.38,Healthy,train
C0299,5,15,5.456051334270711,37.2138875271841,5.278542370047489,6.982971881796026,504,10.778952658730123,1,1797,1190,3560,2816,4251,4980,6535,6238,6744,6023,5321,3635,27814,1846,0.5895423700474893,34.03299110486193,37.76327228690168,29.306002865579508,63.326308558305456,Subclinical,train
C0288,5,15,6.889022274908054,38.85432239345118,6.450357620472178,7.167897069526634,666,10.01414243673034,0,1643,1346,4117,3345,4001,4218,5578,7323,6907,6666,5649,3543,27950,1952,1.7613576204721786,65.00515302284961,65.5114824461264,17.754271957859824,82.77063424216394,Clinical,train
C0581,3,9,6.37,38.0,6.067,7.07,761,8.7,1,2262,1686,4951,3823,5318,6257,8122,8983,7496,7290,7017,4634,34652,2265,1.378,69.67,67.99,18.18,87.84,Clinical,train
C0010,2,6,5.936975028164179,37.75976752742034,5.681437512930653,7.025858056059374,361,13.39356825862958,1,1800,1413,3968,3242,4908,5079,7159,7279,7274,6448,5827,3746,30249,1981,0.9924375129306532,34.380260755582874,38.20496677318239,23.739028259974496,58.12598151251067,Subclinical,train
C0074,6,18,4.388,35.3,4.405,6.745,151,18.17,0,1139,846,2581,1958,2525,3066,3868,4208,4262,3797,3541,2602,17663,1278,-0.284,9.73,10.32,2.35,12.08,Healthy,train
C0209,1,3,4.985,34.95,5.037,6.64,92,27.73,0,1019,771,2238,1900,2455,3045,3696,4054,3803,3608,3087,1947,16098,1267,0.348,12.78,12.22,-1.12,11.66,Healthy,train
C0751,3,9,5.082,34.77,5.152,6.661,157,21.91,0,1149,901,2705,2156,3111,3373,4644,4785,4395,4173,3624,2350,19255,1420,0.463,12.3,13.19,1.78,14.08,Healthy,train
C0486,4,12,4.133,35.64,4.122,6.382,164,19.0,0,1246,936,2755,2151,2731,3260,4142,4519,4051,4027,4019,2536,17994,1371,-0.567,10.23,9.99,-1.81,8.42,Healthy,train
C0761,2,6,5.074,35.54,5.07,6.446,103,20.21,0,1079,839,2314,1995,2715,2859,3973,4590,4428,3993,3527,2358,17873,1348,0.381,14.51,14.09,0.0,14.52,Healthy,train
C0478,4,12,4.589,36.48,4.504,6.84,111,18.56,0,1267,863,2510,2047,3056,3208,4360,4606,4000,4288,3788,2458,19309,1449,-0.185,12.15,12.15,0.0,12.15,Healthy,train
C0755,6,18,4.92,35.54,4.916,6.764,73,24.55,0,1197,882,2300,1994,2777,3209,4001,4214,4031,3705,3526,2425,17517,1291,0.227,12.65,11.55,-1.72,10.93,Healthy,train
C0087,3,9,6.7823680225575,38.356834561937504,6.4142508326274985,7.149961643506252,546,9.08673664446244,0,1693,1213,3697,2851,3659,4104,4844,6007,6129,6321,5030,3471,24824,1774,1.725250832627499,59.35519128301254,57.85094176033752,14.817427061349903,74.17210355684995,Clinical,train
C0072,3,9,4.749,36.12,4.693,6.726,195,17.05,0,1166,937,2616,2204,2740,3377,4126,4830,4546,4563,3631,2462,19235,1350,0.004,13.75,14.16,0.81,14.56,Healthy,train
C0069,4,12,7.4,38.3,7.006,7.11,599,11.8,1,1985,1568,4383,3524,5319,5763,7092,8551,8299,7530,6990,4523,33165,2161,2.317,76.38,72.13,16.23,92.61,Clinical,train
C0718,2,6,4.4,34.77,4.461,6.65,99,23.75,0,1053,790,2329,1726,2409,2810,3539,4036,3879,3688,3021,1921,15843,1163,-0.228,7.03,7.03,0.0,7.03,Healthy,train
C0592,5,15,4.537,35.97,4.496,6.679,132,23.35,0,1166,881,2662,1885,2616,3064,3805,3902,4004,3436,3435,2526,17072,1344,-0.193,11.89,10.89,0.06,11.95,Healthy,train
C0263,5,15,5.296,36.52,5.193,6.832,315,16.99,0,1353,1036,2886,2430,3479,4135,5384,5337,5061,4810,4499,2876,21933,1500,0.504,18.75,20.62,12.24,30.98,Subclinical,train
C0242,5,15,5.883,36.85,5.732,6.931,441,14.04,0,1513,1052,3329,2553,3713,4420,5614,6035,5666,5120,4736,3057,24764,1654,1.043,31.34,33.7,18.22,49.57,Subclinical,train
C0417,3,9,5.402977769596763,36.48062167990303,5.302274838269085,6.8267495573204044,308,17.11141648696565,0,1375,1051,2883,2366,3474,4091,5316,5356,5102,4823,4424,2875,22019,1550,0.6132748382690857,18.389032065777798,21.00065709427069,13.39181586283631,31.77412945528885,Subclinical,train
C0310,3,9,5.519873214350016,36.76856700144634,5.38674797819381,6.923084120520685,325,15.79653881198724,0,1401,1052,3155,2486,3341,4002,5214,5622,4782,4771,4423,3052,21420,1528,0.6977479781938104,23.129112309979792,24.131417503615864,11.340476533665004,34.46958884364479,Subclinical,train
C0747,5,15,4.215,35.56,4.21,6.633,180,18.24,0,1176,897,2740,2173,2940,3064,4376,5119,4843,4340,3680,2450,19876,1446,-0.479,10.55,10.55,0.0,10.55,Healthy,train
C0546,3,9,4.585,35.32,4.601,6.625,107,22.6,0,1024,768,2247,1723,2678,2812,3540,4157,3634,3720,3227,2345,16952,1293,-0.088,8.38,9.94,2.18,10.56,Healthy,train
