cow_id,scan_number,day,conductivity_raw_mScm,temperature_C,conductivity_temp_adjusted_mScm,milk_pH,somatic_cell_count,milk_yield_L,clotting,as7343_F1,as7343_F2,as7343_FZ,as7343_F3,as7343_F4,as7343_F5,as7343_FY,as7343_FXL,as7343_F6,as7343_F7,as7343_F8,as7343_NIR,as7343_VIS,as7343_FD,conductivity_deviation,risk_label
C0006,6,18,4.687,36.15,4.629,6.694,115,22.93,0,1119,769,2412,1907,2715,3330,4035,4730,4450,4190,3471,2345,17883,1328,-0.06,Healthy
C0007,1,3,4.783,35.65,4.769,6.436,169,20.94,0,1366,941,2925,2116,3420,3817,5026,5376,4824,4878,3870,2751,22068,1601,0.08,Healthy
C0007,2,6,4.929,35.54,4.925,6.391,169,21.44,0,1303,925,2857,2257,3447,3843,4936,5442,5089,4500,4151,2842,20530,1493,0.236,Healthy
C0007,3,9,4.788,35.72,4.768,6.391,167,21.01,0,1378,969,2906,2384,3311,3712,4596,5529,5119,4526,4018,2547,21937,1603,0.079,Healthy
C0007,4,12,5.074,35.72,5.053,6.377,156,20.99,0,1207,971,2793,2263,3337,3735,4791,5561,5188,4755,3988,2610,20795,1467,0.364,Healthy
C0007,5,15,4.781,35.66,4.766,6.366,177,21.33,0,1311,1034,2799,2269,3134,3918,5121,5212,4876,4605,3996,2666,21701,1561,0.077,Healthy
C0007,6,18,4.813,35.62,4.802,6.365,187,21.1,0,1278,1017,2911,2381,3520,3843,5033,5534,5101,4649,4099,2866,21525,1505,0.113,Healthy
C0009,1,3,4.669,35.68,4.653,6.677,146,15.42,0,1058,824,2530,2018,2791,3229,4108,4478,4121,3956,3567,2327,18589,1343,-0.036,Healthy
C0009,2,6,4.538,35.73,4.518,6.668,127,16.15,0,1126,833,2346,1876,2652,2910,3943,4290,4102,3786,3431,2425,17298,1357,-0.171,Healthy
C0009,3,9,4.546,35.72,4.527,6.696,136,16.55,0,1088,787,2457,1842,2685,3155,3966,4241,4458,4079,3513,2387,18246,1417,-0.162,Healthy
C0009,4,12,4.427,35.74,4.407,6.68,134,16.71,0,1130,788,2392,1902,2581,3230,3856,4264,3918,3891,3564,2305,17625,1357,-0.282,Healthy
C0009,5,15,4.638,35.73,4.618,6.676,133,16.3,0,1073,785,2414,1931,2749,3128,3925,4267,3940,3713,3406,2414,17282,1377,-0.071,Healthy
C0009,6,18,4.593,35.85,4.562,6.694,139,16.41,0,1040,818,2477,1828,2671,3195,4121,4282,4143,3899,3509,2411,18059,1405,-0.127,Healthy
C0010,1,3,4.762,35.71,4.743,6.724,184,26.1,0,1250,939,2904,2244,3048,3422,4340,5103,4828,4648,3945,2695,20653,1482,0.054,Healthy
C0010,2,6,4.629,35.62,4.618,6.752,193,26.2,0,1271,983,2977,2338,2822,3293,4388,4777,4947,4475,3759,2711,19942,1536,-0.071,Healthy
C0010,3,9,4.729,35.65,4.716,6.76,184,25.46,0,1366,1039,2871,2461,2862,3486,4495,5050,4895,4549,3704,2626,20798,1564,0.027,Healthy
C0010,4,12,4.647,35.69,4.63,6.724,187,25.52,0,1384,952,3001,2099,2923,3235,4193,5053,4495,4377,3726,2534,19768,1434,-0.059,Healthy
C0010,5,15,4.754,35.68,4.738,6.711,180,25.92,0,1291,971,2924,2355,3103,3288,4410,5280,4716,4483,3928,2790,20572,1493,0.049,Healthy
C0010,6,18,4.658,35.7,4.64,6.757,186,26.54,0,1321,972,2814,2232,3095,3332,4550,4939,4376,4197,3725,2512,20476,1446,-0.049,Healthy
C0012,1,3,4.623,35.75,4.601,6.663,141,22.87,0,1036,850,2518,2064,2823,3296,4016,4935,4240,3897,3858,2425,18375,1386,-0.088,Healthy
C0012,2,6,4.85,35.89,4.814,6.693,234,18.9,0,1335,934,2752,2247,2893,3573,4726,4786,5214,4464,4103,2958,20607,1470,0.125,Healthy
C0012,3,9,4.978,36.43,4.89,6.736,306,17.44,0,1325,992,2956,2277,3285,3587,4748,4878,4800,4677,4396,2961,20595,1535,0.201,Healthy
C0012,4,12,5.509,36.97,5.355,6.791,426,15.53,0,1515,1094,3496,2695,3565,4177,5019,5955,5361,5049,4872,3432,22266,1628,0.666,Subclinical
C0012,5,15,5.872,37.63,5.634,6.855,573,13.7,1,1914,1428,4110,3558,4539,5336,7121,7545,7202,6742,6489,4412,30103,1978,0.945,Clinical
C0012,6,18,6.29,38.37,5.947,6.93,762,10.8,1,1879,1476,4317,3356,4935,5726,7262,7587,7061,6715,6901,4234,32077,2095,1.258,Clinical
C0013,1,3,4.826,35.74,4.804,6.573,109,23.69,0,1111,799,2335,1862,2611,3055,3803,4233,3846,3806,3232,2331,17553,1317,0.115,Healthy
C0013,2,6,4.524,35.65,4.511,6.536,119,22.32,0,1114,844,2482,1998,2828,3075,4038,4282,4008,3443,3499,2206,17256,1269,-0.178,Healthy
C0013,3,9,4.593,35.66,4.579,6.593,123,23.24,0,1112,792,2511,2008,2610,2983,3811,4617,4202,3582,3452,2258,18131,1421,-0.11,Healthy
C0013,4,12,4.45,35.6,4.442,6.519,114,23.18,0,1146,837,2528,1912,2885,3166,3874,4669,4098,3850,3526,2389,17841,1313,-0.247,Healthy
C0013,5,15,4.49,35.65,4.477,6.55,113,22.73,0,1117,836,2421,1855,2718,3061,3917,4020,3970,3507,3573,2351,16480,1297,-0.212,Healthy
C0013,6,18,4.614,35.68,4.598,6.549,103,23.45,0,1108,763,2448,1822,2631,3075,3512,3858,3909,3488,3406,2097,16400,1185,-0.091,Healthy
C0014,1,3,4.139,35.77,4.118,6.719,89,17.7,0,962,766,2032,1761,2354,2830,3475,3879,3953,3647,3043,1918,16139,1203,-0.571,Healthy
C0014,2,6,4.08,35.87,4.051,6.692,93,18.19,0,938,722,2023,1685,2607,2852,3511,3907,3844,3598,2909,2009,15746,1167,-0.638,Healthy
C0014,3,9,4.097,35.8,4.074,6.65,91,17.15,0,959,684,2198,1614,2358,2658,3661,3909,3627,3799,2938,2156,15980,1173,-0.615,Healthy
C0014,4,12,4.314,35.83,4.287,6.742,98,18.46,0,974,713,2090,1687,2433,2819,3690,3971,3497,3497,3042,2044,15814,1197,-0.402,Healthy
C0014,5,15,4.137,35.77,4.116,6.665,81,18.4,0,984,714,1960,1708,2535,2729,3483,3894,3477,3441,2804,2147,15365,1212,-0.573,Healthy
C0014,6,18,4.085,35.76,4.065,6.68,107,18.74,0,900,722,2032,1654,2463,2833,3469,3761,3809,3446,2906,1968,15797,1288,-0.624,Healthy
C0015,1,3,4.77,35.59,4.762,6.668,177,20.7,0,1126,837,2461,2057,2707,3258,4217,4288,4053,3754,3534,2527,18268,1346,0.073,Healthy
C0015,2,6,4.911,35.87,4.876,6.709,178,19.14,0,1174,804,2354,2004,2905,3289,4159,4629,4229,3802,3435,2394,18263,1358,0.187,Healthy
C0015,3,9,5.051,36.35,4.969,6.767,255,15.05,0,1199,872,2526,2111,3075,3716,4395,4716,4400,3982,3929,2558,19442,1435,0.28,Healthy
C0015,4,12,5.48,36.77,5.348,6.841,344,12.75,0,1335,948,2781,2266,3203,3595,5128,5035,4847,4639,4282,2722,20332,1435,0.659,Subclinical
C0015,5,15,5.962,37.27,5.761,6.929,460,9.48,0,1441,1042,2954,2319,3368,4185,5313,5297,5367,5007,4660,3122,23128,1621,1.072,Subclinical
C0015,6,18,6.47,37.88,6.177,7.03,597,5.5,0,1530,1066,3279,2700,3778,4336,5484,5753,5325,4894,4790,3369,23398,1731,1.488,Clinical
C0016,1,3,4.672,35.71,4.653,6.681,147,18.07,0,1106,832,2298,1968,2594,3175,3816,4791,4465,3950,3630,2455,17667,1339,-0.036,Healthy
C0016,2,6,4.97,35.91,4.931,6.75,195,20.62,0,1235,975,2762,2193,2930,3398,4473,5285,4735,4578,4030,2912,20548,1574,0.242,Healthy
C0016,3,9,5.253,36.13,5.19,6.85,278,18.92,0,1350,1070,2975,2315,2921,3593,4673,5650,5017,4838,4489,3132,21166,1515,0.501,Healthy
C0016,4,12,5.619,36.65,5.496,6.976,387,18.31,0,1386,1128,3164,2605,3310,3936,4678,5717,5748,5015,4647,3294,22430,1556,0.807,Subclinical
C0016,5,15,6.145,37.1,5.958,7.127,514,16.15,1,1978,1566,4447,3290,4333,4474,5313,6940,7322,7042,6327,4407,28787,1980,1.269,Clinical
C0016,6,18,6.68,37.58,6.416,7.3,685,15.0,1,2071,1592,4234,3468,5015,5628,6869,8693,7954,7440,6725,4374,32039,2169,1.727,Clinical
C0017,1,3,4.922,35.77,4.897,6.669,166,19.85,0,1236,898,2458,2031,2809,3128,4194,4815,4212,4168,3563,2607,18307,1335,0.208,Healthy
C0017,2,6,4.86,36.19,4.796,6.712,213,19.72,0,1195,874,2524,2018,3013,3219,4346,4700,4381,4382,3751,2426,19393,1433,0.107,Healthy
C0017,3,9,5.253,36.69,5.134,6.773,323,17.6,0,1336,985,2903,2314,3268,3839,4539,5417,5043,4629,4070,2861,21745,1543,0.445,Healthy
C0017,4,12,5.401,37.31,5.215,6.851,431,16.39,0,1434,1018,3008,2362,3380,3554,4958,5312,5606,4627,4269,2821,21889,1492,0.526,Subclinical
C0017,5,15,5.884,38.19,5.583,6.943,594,13.74,1,1741,1341,4169,3285,4035,4421,5986,6435,6934,6049,5666,3719,27151,1784,0.894,Clinical
C0017,6,18,6.33,39.09,5.898,7.05,777,12.5,1,1896,1434,3996,3385,4329,4867,6214,6850,6860,6955,6210,4079,29247,1949,1.209,Clinical
C0018,1,3,4.693,36.58,4.597,6.711,148,18.72,0,1354,960,2573,2237,3204,3547,4538,4829,4362,4395,3707,2550,19087,1452,-0.092,Healthy
C0018,2,6,4.713,36.33,4.639,6.73,147,18.36,0,1231,940,2842,2115,3045,3725,4384,4752,4682,4109,3680,2548,20194,1499,-0.05,Healthy
C0018,3,9,4.734,36.36,4.657,6.711,144,18.11,0,1254,900,2483,2289,2966,3507,4419,4525,4406,4075,3655,2406,19084,1358,-0.032,Healthy
C0018,4,12,4.706,36.33,4.632,6.728,153,19.28,0,1263,918,2710,2105,3050,3446,4380,4539,4297,4084,3684,2400,18696,1328,-0.057,Healthy
C0018,5,15,4.553,36.3,4.484,6.733,132,19.35,0,1114,895,2458,2005,2935,3285,4317,4868,4221,3875,3446,2278,19136,1363,-0.205,Healthy
C0018,6,18,4.658,36.31,4.586,6.722,166,18.66,0,1263,959,2512,2241,3239,3608,4744,4731,4274,3947,3760,2553,19558,1383,-0.103,Healthy
C0019,1,3,5.048,35.5,5.048,6.778,151,16.34,0,1138,804,2420,1994,2742,3306,4144,4845,4478,4098,3814,2652,18422,1324,0.359,Healthy
C0019,2,6,5.159,35.44,5.165,6.741,150,16.04,0,1158,826,2557,1945,2901,3226,4113,4647,4587,4329,3938,2637,19549,1334,0.476,Healthy
C0019,3,9,4.831,35.6,4.822,6.72,156,15.89,0,1094,875,2330,2117,2813,3138,3850,4505,4525,4024,3947,2600,17957,1228,0.133,Healthy
C0019,4,12,5.082,35.49,5.083,6.733,147,15.45,0,1062,827,2442,1999,2564,3024,4157,4733,4388,3892,3813,2672,18305,1242,0.394,Healthy
C0019,5,15,4.974,35.36,4.987,6.686,156,15.96,0,1119,841,2531,1991,2834,3234,4108,4772,4299,3990,3688,2698,18681,1308,0.298,Healthy
C0019,6,18,4.977,35.54,4.973,6.735,172,16.66,0,1098,819,2280,2090,2462,3125,4042,4492,4341,3990,3669,2398,17516,1366,0.284,Healthy
C0020,1,3,4.747,34.78,4.812,6.634,85,18.49,0,1057,754,2181,1826,2429,2781,3599,4195,3970,3661,3366,2293,16355,1412,0.123,Healthy
C0020,2,6,4.433,34.74,4.497,6.616,84,18.23,0,1026,737,2204,1687,2422,2809,3483,4173,3708,3407,2892,2215,15827,1311,-0.192,Healthy
C0020,3,9,4.465,34.9,4.516,6.655,63,19.05,0,974,670,2058,1755,2294,2768,3334,3598,3560,3011,3046,1977,14367,1151,-0.173,Healthy
C0020,4,12,4.456,34.75,4.519,6.608,73,18.11,0,935,681,1948,1625,2104,2557,3170,3669,3401,3340,2971,2055,13956,1083,-0.17,Healthy
C0020,5,15,4.584,34.88,4.638,6.62,90,17.94,0,931,730,2121,1725,2291,2742,3424,3782,3478,3445,3429,2337,14629,1135,-0.051,Healthy
C0020,6,18,4.368,34.84,4.423,6.644,83,18.31,0,925,713,1984,1620,2107,2536,3436,3609,3720,3234,3089,2091,14675,1163,-0.266,Healthy
C0021,1,3,4.204,35.65,4.192,6.662,217,20.91,0,1445,1084,3229,2515,3022,3702,4751,4972,4811,4406,4224,2841,20623,1577,-0.497,Healthy
C0021,2,6,4.273,35.46,4.276,6.64,233,20.51,0,1423,1111,3275,2509,3281,3719,4654,5509,5093,4481,4475,2895,21329,1478,-0.413,Healthy
C0021,3,9,4.17,35.45,4.174,6.624,213,20.9,0,1479,1065,3154,2664,3141,3604,4551,4867,5289,4672,4232,2908,21201,1516,-0.515,Healthy
C0021,4,12,4.032,35.7,4.017,6.639,227,20.55,0,1481,1047,3154,2385,3211,3538,4674,5272,5004,4207,4275,2725,21065,1513,-0.672,Healthy
C0021,5,15,4.236,35.65,4.224,6.643,226,20.68,0,1467,1173,3010,2640,3184,3856,4848,5015,5033,4586,4269,2712,21448,1526,-0.465,Healthy
C0021,6,18,4.271,35.42,4.277,6.653,215,20.97,0,1443,1033,2874,2362,3082,3550,4415,5305,4524,4401,4203,2808,20165,1369,-0.412,Healthy
C0022,1,3,4.652,35.19,4.679,6.514,138,19.81,0,1126,866,2486,2031,3010,3201,4311,4498,4143,3998,3363,2344,19106,1388,-0.01,Healthy
C0022,2,6,4.691,35.02,4.734,6.515,151,20.44,0,1271,945,2659,2132,3054,3605,4456,4746,4699,4022,3786,2543,19506,1362,0.045,Healthy
C0022,3,9,4.817,35.24,4.841,6.498,128,19.56,0,1131,918,2605,1991,2989,3323,4465,4775,4156,3713,3401,2318,19013,1499,0.152,Healthy
C0022,4,12,4.702,35.1,4.738,6.498,144,19.82,0,1170,890,2705,2168,2761,3447,4403,4868,4214,4444,3876,2450,18787,1409,0.049,Healthy
C0022,5,15,4.558,35.05,4.597,6.491,135,20.73,0,1173,834,2512,2015,2991,3388,4368,4586,3966,3942,3260,2404,18953,1443,-0.092,Healthy
C0022,6,18,4.699,35.17,4.728,6.498,136,20.55,0,1206,830,2612,1978,2762,2990,4441,4647,4199,4210,3367,2151,18319,1318,0.039,Healthy
C0023,1,3,4.806,35.91,4.769,6.619,187,18.45,0,1305,1016,2689,2258,3031,3357,4921,4869,4700,4554,3667,2582,21410,1507,0.08,Healthy
C0023,2,6,4.487,36.06,4.439,6.633,183,18.52,0,1269,917,2851,2165,3035,3712,4395,5131,4845,4380,4306,2587,19742,1528,-0.25,Healthy
C0023,3,9,4.612,35.79,4.587,6.619,172,18.68,0,1236,916,2577,2100,3115,3400,4232,4789,4359,4241,3600,2528,18789,1429,-0.102,Healthy
C0023,4,12,4.568,35.81,4.541,6.631,181,19.11,0,1231,887,2769,2031,2912,3369,4638,4891,4739,4372,3867,2419,19666,1451,-0.148,Healthy
C0023,5,15,4.633,35.96,4.593,6.629,177,17.97,0,1173,869,2644,2103,2927,3250,4598,4896,4316,4375,3851,2457,19177,1465,-0.096,Healthy
C0023,6,18,4.577,35.82,4.549,6.619,169,19.33,0,1160,900,2444,2159,2875,3409,4317,4596,4291,4241,3612,2582,18401,1450,-0.14,Healthy
C0025,1,3,4.608,35.26,4.629,6.89,151,20.94,0,1130,849,2258,2012,2654,3253,4338,4247,4005,3989,3482,2353,17577,1331,-0.06,Healthy
C0025,2,6,4.647,35.3,4.665,6.93,174,20.9,0,1216,844,2590,2080,2975,3243,4081,4727,4645,4124,3441,2394,19411,1440,-0.024,Healthy
C0025,3,9,4.645,35.33,4.66,6.913,153,21.59,0,1168,881,2450,2066,2862,3263,4067,4664,4609,4131,3734,2386,19121,1395,-0.029,Healthy
C0025,4,12,4.679,35.48,4.681,6.898,156,21.13,0,1249,871,2664,2006,2788,3139,4310,4842,4407,4297,3494,2411,18480,1244,-0.008,Healthy
C0025,5,15,4.586,35.38,4.596,6.893,173,21.11,0,1178,855,2642,2023,2877,3113,4264,4745,4128,4044,3622,2377,19043,1428,-0.093,Healthy
C0025,6,18,4.595,35.33,4.61,6.941,163,20.64,0,1154,876,2657,2065,2773,3092,4151,4686,4368,3828,3577,2184,18008,1345,-0.079,Healthy
C0026,1,3,4.789,34.53,4.877,6.553,100,26.07,0,1099,830,2403,1971,2461,3092,3978,4372,4183,4014,3580,2416,17743,1332,0.188,Healthy
C0026,2,6,4.832,34.5,4.924,6.539,86,25.53,0,1067,838,2297,2050,2707,3073,3883,4407,4013,3806,3697,2301,17163,1393,0.235,Healthy
C0026,3,9,4.798,34.58,4.882,6.591,97,26.49,0,1081,830,2334,1871,2770,3126,4017,4480,4287,3801,3594,2406,17788,1344,0.193,Healthy
C0026,4,12,4.801,34.64,4.879,6.552,103,26.82,0,1082,800,2380,2036,2688,3059,4140,4192,4140,3671,3645,2370,17517,1277,0.19,Healthy
C0026,5,15,4.909,34.65,4.988,6.561,104,26.15,0,1172,795,2296,1890,2729,3221,3945,4427,4060,3651,3541,2453,18255,1385,0.299,Healthy
C0026,6,18,4.988,34.61,5.072,6.564,96,25.97,0,1103,815,2393,1976,2655,3006,3992,4579,3850,3690,3623,2333,16832,1280,0.383,Healthy
C0027,1,3,4.737,35.24,4.76,6.804,168,22.04,0,1185,939,2532,2036,2849,3310,3975,4341,4242,3912,3793,2458,17899,1385,0.071,Healthy
C0027,2,6,4.564,35.33,4.579,6.794,173,22.48,0,1204,855,2383,1909,2786,3044,3956,4359,4147,3728,3473,2466,17426,1282,-0.11,Healthy
C0027,3,9,4.725,35.4,4.734,6.812,167,21.54,0,1140,881,2387,1857,2746,3124,4160,4087,4104,3683,3575,2344,17580,1280,0.045,Healthy
C0027,4,12,4.655,35.29,4.674,6.803,176,20.89,0,1241,803,2487,1946,2785,2964,4116,4061,4283,3545,3405,2396,17394,1282,-0.015,Healthy
C0027,5,15,4.82,35.15,4.852,6.831,163,21.59,0,1108,836,2534,2025,2931,3167,3962,4158,4104,4003,3420,2296,17088,1212,0.163,Healthy
C0027,6,18,4.644,35.42,4.651,6.809,156,20.3,0,1124,807,2371,1935,2763,3226,4032,4118,3964,3674,3534,2416,17625,1300,-0.038,Healthy
C0028,1,3,4.688,34.35,4.79,6.724,137,21.52,0,1195,907,2665,2053,3085,3507,4698,4804,4455,4375,3941,2393,20207,1533,0.101,Healthy
C0028,2,6,4.855,34.28,4.968,6.719,150,21.26,0,1265,997,2667,2245,3164,3608,4353,4851,4554,4120,3975,2522,19902,1412,0.279,Healthy
C0028,3,9,4.785,34.31,4.893,6.725,134,21.98,0,1118,924,2632,2031,3132,3517,4817,4306,4426,4246,3653,2557,19136,1341,0.204,Healthy
C0028,4,12,4.782,34.38,4.884,6.761,138,22.03,0,1175,984,2621,2218,3229,3485,4727,4623,4416,4008,3643,2660,19601,1404,0.195,Healthy
C0028,5,15,4.854,34.4,4.955,6.748,137,22.15,0,1215,906,2518,2067,2997,3480,4659,4755,4493,3834,3833,2480,18706,1389,0.266,Healthy
C0028,6,18,4.722,34.43,4.818,6.753,135,21.08,0,1260,940,2744,2010,2968,3577,4475,4535,4275,3944,3385,2513,19456,1387,0.129,Healthy
C0029,1,3,5.324,34.66,5.409,6.671,147,20.76,0,1269,1013,2789,2157,3074,3690,4978,5139,4492,4342,3831,2625,20628,1488,0.72,Healthy
C0029,2,6,5.082,34.77,5.152,6.661,157,21.91,0,1149,901,2705,2156,3111,3373,4644,4785,4395,4173,3624,2350,19255,1420,0.463,Healthy
C0029,3,9,5.24,34.62,5.328,6.676,163,22.14,0,1164,894,2624,2024,3128,3304,4466,4664,4359,4164,3737,2401,19122,1402,0.639,Healthy
C0029,4,12,5.261,34.55,5.356,6.66,149,21.36,0,1290,872,2626,2155,2926,3510,4661,4696,4411,4453,3943,2617,19996,1446,0.667,Healthy
C0029,5,15,5.42,34.76,5.496,6.708,146,21.99,0,1197,907,2696,2068,3115,3425,4439,4732,4307,4193,3433,2654,19718,1514,0.807,Healthy
C0029,6,18,5.246,34.66,5.33,6.698,156,21.9,0,1163,905,2440,2048,3168,3418,4438,4526,4519,4025,3753,2323,18975,1402,0.641,Healthy
C0033,1,3,4.69,35.02,4.733,6.662,169,19.63,0,1260,984,2819,2396,3038,3724,4579,4645,4527,4041,3858,2854,19758,1374,0.044,Healthy
C0033,2,6,4.514,34.93,4.563,6.646,181,18.53,0,1261,912,2571,2143,2715,2980,4283,4615,4289,3690,3657,2620,17549,1321,-0.126,Healthy
C0033,3,9,4.444,35.05,4.482,6.672,170,19.31,0,1239,934,2639,2075,2766,3043,4250,4334,4264,3746,3836,2457,17775,1319,-0.207,Healthy
C0033,4,12,4.426,35.1,4.46,6.652,177,18.49,0,1324,1002,2624,2128,2680,3426,4656,4905,4295,3866,4164,2719,19126,1442,-0.229,Healthy
C0033,5,15,4.42,35.13,4.451,6.637,166,19.16,0,1275,1017,2744,2112,2885,3127,4381,4874,4533,4031,3580,2861,18662,1360,-0.238,Healthy
C0033,6,18,4.34,34.9,4.389,6.62,180,18.68,0,1244,919,2770,2349,2828,3203,4133,4493,3969,3968,3599,2537,18793,1406,-0.3,Healthy
C0035,1,3,4.863,35.59,4.855,6.677,163,18.33,0,1293,960,2748,2114,3103,3617,4409,5132,4608,4319,3965,2544,19612,1435,0.166,Healthy
C0035,2,6,5.061,35.84,5.028,6.737,226,18.69,0,1405,955,2904,2282,3236,3753,5186,5163,5094,4867,4230,2704,21860,1543,0.339,Healthy
C0035,3,9,5.399,36.46,5.301,6.822,315,16.38,0,1437,1071,3009,2337,3636,4192,5251,5768,5388,5168,4297,2946,23170,1581,0.612,Subclinical
C0035,4,12,5.883,36.85,5.732,6.931,441,14.04,0,1513,1052,3329,2553,3713,4420,5614,6035,5666,5120,4736,3057,24764,1654,1.043,Subclinical
C0035,5,15,6.352,37.45,6.117,7.061,594,11.7,1,1995,1627,4438,3498,4978,5348,6346,7441,7313,7110,6482,4305,31383,2054,1.428,Clinical
C0035,6,18,7.08,38.04,6.738,7.21,791,9.1,1,2219,1685,4971,3939,5489,6316,8683,9142,8274,7460,6649,4762,35710,2300,2.049,Clinical
C0036,1,3,4.726,35.09,4.763,6.603,164,21.05,0,1047,825,2385,1872,2863,3380,4195,4418,4212,3941,3452,2279,18238,1218,0.074,Healthy
C0036,2,6,4.791,34.91,4.845,6.609,174,20.83,0,1006,843,2385,1988,2893,3172,4025,4495,4445,4172,3492,2278,18108,1347,0.156,Healthy
